nama,kota
RS KARTIKA KASIH,SUKABUMI
RS BHAKTI MEDICARE,SUKABUMI
RS BAKTI TIMAH SUNGAI LIAT,BANGKA
RSIA MELINDA,BANDUNG
RSU DR ADAM TALIB,BEKASI
RSU PKU MUHAMMADIYAH DELANGGU,KLATEN
RSIA NURUL ANNISA,BEKASI
RS AMIRA,PURWAKARTA
RSIA TIARA TANGERANG,TANGERANG
RSIA ILANUR,TANGERANG
RS PERTAMINA TARAKAN,TARAKAN
RS MITRA BANGSA,PATI
EKA HOSPITAL PEKANBARU,PEKANBARU
RS ST ANNA,KENDARI
RS RISA SENTRA MEDIKA,MATARAM
RS MITRA KELUARGA TEGAL,TEGAL
RS PERMATA BEKASI,BEKASI
RS EFARINA ETAHAM BRASTAGI,KARO
RADJAK HOSPITAL PURWAKARTA,PURWAKARTA
RS PURI MEDIKA,JAKARTA UTARA
RS BHAYANGKARA BENGKULU,BENGKULU
RS HERMINA GRAND WISATA,BEKASI
RSIA DHIA,TANGERANG SELATAN
RS MELOY SANGATTA,KUTAI TIMUR
RS ISLAM IBNU SINA PADANG PANJANG,PADANG PANJANG
RS PERMATA BUNDA MALANG,MALANG
RSIA PERMATA SARANA HUSADA,TANGERANG SELATAN
RSIA CICIK,PADANG
RS TAMAN HARAPAN BARU,BEKASI
RS HERMINA ARCAMANIK,BANDUNG
RS BUNDA MULIA,BEKASI
RS BEDAH THT PROF NIZAR,JAKARTA PUSAT
RSIA STELLA MARIS MEDAN,MEDAN
RSU DINDA,TANGERANG
RS SYAFIRA,PEKANBARU
RS KARANG TENGAH MEDIKA (GROUP YADIKA),TANGERANG
RS MUHAMMADIYAH AHMAD DAHLAN KEDIRI,KEDIRI
RS SARI ASIH CIPUTAT,TANGERANG SELATAN
RSIA ASYIFA DEPOK,DEPOK
RSIA BUAH HATI PAMULANG,TANGERANG SELATAN
RS BHAKTI HUSADA II PURWAKARTA,PURWAKARTA
RS HERMINA PALEMBANG,PALEMBANG
RSU ARTHA MEDICA,BINJAI
RS TASIK MEDIKA CITRATAMA (TMC),TASIKMALAYA
RS PRIMAYA MAKASSAR,MAKASSAR
RS NATAR MEDIKA (YADIKA GROUP),LAMPUNG SELATAN
METRO HOSPITALS CIKUPA,TANGERANG
RSUP FATMAWATI (GRIYA HUSADA),JAKARTA SELATAN
RS HELSA JATIRAHAYU,BEKASI
RS ISLAM ARAFAH,JAMBI
RS PELABUHAN PALEMBANG,PALEMBANG
RS HARAPAN KELUARGA MATARAM,MATARAM
RSIA DEDARI,KUPANG
RS IMELDA PEKERJA INDONESIA,MEDAN
RS MARTHA FRISKA MULTATULI,MEDAN
RS BUNDA THAMRIN MEDAN,MEDAN
RS LATERSIA,BINJAI
RS PERTAMINA PANGKALAN BRANDAN,LANGKAT
RS PERTAMINA RANTAU,ACEH TAMIANG
RS LNG BADAK,BONTANG
RS HERMINA CIPUTAT,TANGERANG SELATAN
RS SARILA HUSADA,SRAGEN
RS PKU AISYIYAH BOYOLALI,BOYOLALI
RSIA KENARI GRAHA MEDIKA,BOGOR
RS KEN SARAS,SEMARANG
RS DEDY JAYA,BREBES
RSU ADELLA,TEGAL
RSI MUHAMMADIYAH KENDAL,KENDAL
RS PKU MUHAMMADIYAH SELOGIRI,WONOGIRI
RS HERMINA WONOGIRI,WONOGIRI
RS BUAH HATI CIPUTAT,TANGERANG SELATAN
CIPUTRA HOSPITAL,TANGERANG
RS PKU MUHAMMADIYAH GAMPING,SLEMAN
RS ANNISA CITEUREUP,BOGOR
RSU SENTOSA,BOGOR
